id,offerId,title,subheading,userReviewCount,roundedRating,rawPrice,offerCount,usedOnly,shopName,shippingCosts,shippingIsFreeOfCharge,isBestseller,total_capacity_gb,module_capacity_gb,num_modules,frequency_mts,cas_latency_raw,cas_latency_primary,voltage_v,form_factor,market,ram_category
6721522,c2a7ab20d2391ee6af541b88d8bb42f7,G.Skill Trident Z Neo 32GB DDR4 DDR4-3600 CL16 (F4-3600C16D-32GTZNC),RAM DDR4,1.0,80.0,282.12,11,False,amazon-marketplace.it,9.37,False,False,32.0,16.0,2.0,3600.0,CL 16-19-19-39,16.0,1.35,UDIMM,IT,DDR4
200184952,a55a74c8636fa4ea3408a44167b62d16,Crucial 32GB DDR4-3200 CL22 (CT32G4SFD832A),RAM DDR4,,,226.7,5,False,amazon-marketplace.it,0.0,False,False,32.0,32.0,1.0,3200.0,,22.0,1.2,SODIMM,IT,DDR4
6722121,fd684b19d808ee2edf585c4a1fd971cf,Corsair Vengeance LPX 16GB DDR4-3200 CL16 (CMK16GX4M2E3200C16),RAM DDR4,,,164.96,15,False,galaxus.it,0.0,False,False,16.0,8.0,2.0,3200.0,CL 16-20-20-38,16.0,1.35,UDIMM,IT,DDR4
5982140,483f87dcae3ae6bc00ad564e713d1257,Patriot 8GB SODIMM DDR4-2133 (PSD48G213381S),RAM DDR4,,,135.0,1,False,mediaworld.it (MKP),0.0,False,False,8.0,8.0,1.0,2133.0,,,,SODIMM,IT,DDR4
201869287,b477f804331ebd278cdc5198539dfa18,GoodRAM DRAM SODIMM 8GB DDR4-2666 CL19 (GR2666S464L19S/8G),RAM DDR4,1.0,100.0,62.05,3,False,amazon-marketplace.it,0.0,False,False,8.0,8.0,1.0,2666.0,,19.0,1.2,SODIMM,IT,DDR4
6932332,d9eddd0f09bbcd36e11b4ae9e4c8cf5a,G.Skill Trident Z RGB 32GB Kit DDR4-4000 CL18 (F4-4000C18Q-32GTZRB),RAM DDR4,,,316.1,5,False,redgaming.it,5.9,False,False,32.0,8.0,4.0,4000.0,CL 18-22-22-42,18.0,1.2,UDIMM,IT,DDR4
201165418,b2aac0d53f99edb58331af84015ff8fa,Patriot Viper Steel 8GB DDR4-3200 CL16 (PVS48G320C6),RAM DDR4,365.0,80.0,67.99,9,False,amazon-marketplace.it,0.0,False,False,8.0,8.0,1.0,3200.0,CL 16-18-18-36,16.0,1.35,UDIMM,IT,DDR4
202281661,3b20d6357137218a09091529635eaec6,Synology D4ES02-4G,RAM DDR4,,,111.28,11,False,amazon-marketplace.it,9.9,False,False,4.0,4.0,1.0,,,,,SODIMM,IT,DDR4
201541706,7d2ba3a9eba4a36bae0318e9f668e169,Kingston FURY Impact 16GB DDR4-3200 CL20 (KF432S20IB/16),RAM DDR4,41.0,100.0,149.98,16,False,PC Componentes IT,0.0,False,False,16.0,16.0,1.0,3200.0,CL 20-22-22,20.0,1.2,SODIMM,IT,DDR4
202292198,8fd9780b90471e553023adfede740be9,Lexar 16GB DDR4-3200 CL22 (LD4AS016G-B3200GSST),RAM DDR4,,,118.44,7,False,mediaworld.it (MKP),11.95,False,False,16.0,16.0,1.0,3200.0,,22.0,1.2,SODIMM,IT,DDR4
200936432,18b4597b6099896c3fd3d63b3560cbb7,Kingston 16GB DDR4-3200 CL22 (KCP432NS8/16),RAM DDR4,,,172.0,16,False,mediaworld.it (MKP),0.0,False,False,16.0,16.0,1.0,3200.0,,22.0,1.2,UDIMM,IT,DDR4
